year,province,share_historical,national_target_mw,target_source,guard_active,allocated_min_total_mw,allocated_max_total_mw,allow_underbuild_only
2035,Jiangsu,0.07655428807134577,3580429.612567163,national_capacity_csv,True,0.0,274097.23997964355,True
2035,Jiangxi,0.024987376521040317,3580429.612567163,national_capacity_csv,True,0.0,89465.5428362982,True
2035,Jilin,0.006233509469387175,3580429.612567163,national_capacity_csv,True,0.0,22318.641894411663,True
2035,Liaoning,0.013437782250321809,3580429.612567163,national_capacity_csv,True,0.0,48113.03349628161,True
2035,Ningxia,0.031384457830468455,3580429.612567163,national_capacity_csv,True,0.0,112369.84219057464,True
2035,Qinghai,0.034391868346004224,3580429.612567163,national_capacity_csv,True,0.0,123137.66385754479,True
2035,Shaanxi,0.036010696175974855,3580429.612567163,national_capacity_csv,True,0.0,128933.76295761947,True
2035,Shandong,0.0815441181699867,3580429.612567163,national_capacity_csv,True,0.0,291962.9754264965,True
2035,Shanghai,0.005079616815185156,3580429.612567163,national_capacity_csv,True,0.0,18187.210465583034,True
2035,Shanxi,0.04297850097076331,3580429.612567163,national_capacity_csv,True,0.0,153881.49757946754,True
2035,Sichuan,0.0145676725149526,3580429.612567163,national_capacity_csv,True,0.0,52158.52605871705,True
2035,Tianjin,0.008779540718720441,3580429.612567163,national_capacity_csv,True,0.0,31434.527574045864,True
2035,Tibet,0.004790699162938888,3580429.612567163,national_capacity_csv,True,0.0,17152.761147887115,True
2035,Xinjiang,0.07108263222649722,3580429.612567163,national_capacity_csv,True,0.0,254506.36136297157,True
2035,Yunnan,0.046232158223752054,3580429.612567163,national_capacity_csv,True,0.0,165530.98835721234,True
2035,Zhejiang,0.05427740361707121,3580429.612567163,national_capacity_csv,True,0.0,194336.4232038218,True
2040,Anhui,0.04834347952862863,4337832.257222405,national_capacity_csv,True,0.0,209705.90492565624,True
2040,Beijing,0.001711281478689434,4337832.257222405,national_capacity_csv,True,0.0,7423.251999446282,True
2040,Chongqing,0.004786254275981254,4337832.257222405,national_capacity_csv,True,0.0,20761.968189620147,True
2040,Fujian,0.014522334667984724,4337832.257222405,national_capacity_csv,True,0.0,62995.45177296336,True
2040,Gansu,0.03243078422029571,4337832.257222405,national_capacity_csv,True,0.0,140679.30191781808,True
2040,Guangdong,0.052351878587023774,4337832.257222405,national_capacity_csv,True,0.0,227093.6676609826,True
2040,Guangxi,0.02629861817354261,4337832.257222405,national_capacity_csv,True,0.0,114078.99423356849,True
2040,Guizhou,0.024609561129641352,4337832.257222405,national_capacity_csv,True,0.0,106752.1481042449,True
2040,Hainan,0.008425727716892704,4337832.257222405,national_capacity_csv,True,0.0,36549.393480910054,True
2040,Hebei,0.07247032593467083,4337832.257222405,national_capacity_csv,True,0.0,314364.11753083655,True
2040,Heilongjiang,0.007676319775835461,4337832.257222405,national_capacity_csv,True,0.0,33298.58754037332,True
2040,Henan,0.046738875336922434,4337832.257222405,national_capacity_csv,True,0.0,202745.40110279882,True
2040,Hubei,0.03878163870536445,4337832.257222405,national_capacity_csv,True,0.0,168228.24336407485,True
2040,Hunan,0.02326542731365256,4337832.257222405,national_capacity_csv,True,0.0,100921.52107922528,True
2040,InnerMongolia,0.0452551720704639,4337832.257222405,national_capacity_csv,True,0.0,196309.34521340876,True
2040,Jiangsu,0.07655428807134577,4337832.257222405,national_capacity_csv,True,0.0,332079.66022458003,True
2040,Jiangxi,0.024987376521040317,4337832.257222405,national_capacity_csv,True,0.0,108391.04789633043,True
2040,Jilin,0.006233509469387175,4337832.257222405,national_capacity_csv,True,0.0,27039.918452009002,True
2040,Liaoning,0.013437782250321809,4337832.257222405,national_capacity_csv,True,0.0,58290.84531097662,True
2040,Ningxia,0.031384457830468455,4337832.257222405,national_capacity_csv,True,0.0,136140.51355244237,True
2040,Qinghai,0.034391868346004224,4337832.257222405,national_capacity_csv,True,0.0,149186.15589744327,True
2040,Shaanxi,0.036010696175974855,4337832.257222405,national_capacity_csv,True,0.0,156208.3594771792,True
2040,Shandong,0.0815441181699867,4337832.257222405,national_capacity_csv,True,0.0,353724.70618452394,True
2040,Shanghai,0.005079616815185156,4337832.257222405,national_capacity_csv,True,0.0,22034.525675239507,True
2040,Shanxi,0.04297850097076331,4337832.257222405,national_capacity_csv,True,0.0,186433.52787804152,True
2040,Sichuan,0.0145676725149526,4337832.257222405,national_capacity_csv,True,0.0,63192.119748013625,True
2040,Tianjin,0.008779540718720441,4337832.257222405,national_capacity_csv,True,0.0,38084.17493326311,True
2040,Tibet,0.004790699162938888,4337832.257222405,national_capacity_csv,True,0.0,20781.24936364468,True
2040,Xinjiang,0.07108263222649722,4337832.257222405,national_capacity_csv,True,0.0,308344.53500037646,True
2040,Yunnan,0.046232158223752054,4337832.257222405,national_capacity_csv,True,0.0,200547.34726400173,True
2040,Zhejiang,0.05427740361707121,4337832.257222405,national_capacity_csv,True,0.0,235446.27224841152,True
2045,Anhui,0.04834347952862863,5284984.371946922,national_capacity_csv,True,0.0,255494.53379433823,True
2045,Beijing,0.001711281478689434,5284984.371946922,national_capacity_csv,True,0.0,9044.095870875877,True
2045,Chongqing,0.004786254275981254,5284984.371946922,national_capacity_csv,True,0.0,25295.279048725053,True
