snapshot,province,load_mw,min_output_floor_mw,thermal_stage1_mw,min_output_deficit_mw,min_output_binding,vre_stage1_mw,vre_curtailment_total_mw,thermal_stage2_mw,vre_stage2_mw,onwind_stage1_mw,onwind_curtailment_mw,onwind_stage2_mw,offwind_stage1_mw,offwind_curtailment_mw,offwind_stage2_mw,solar_stage1_mw,solar_curtailment_mw,solar_stage2_mw
2025-09-22 00:00:00,Shandong,89781.40450040987,8978.140450040988,86784.38424365318,0.0,False,1688.385645637977,0.0,86784.38424365318,1688.385645637977,1431.96324660383,0.0,1431.96324660383,256.4223990341471,0.0,256.4223990341471,0.0,0.0,0.0
2025-09-22 01:00:00,Shandong,88816.48309095272,8881.648309095273,85998.75879667225,0.0,False,1613.795314417865,0.0,85998.75879667225,1613.795314417865,1311.9501896527531,0.0,1311.9501896527531,301.8451247651118,0.0,301.8451247651118,0.0,0.0,0.0
2025-09-22 02:00:00,Shandong,88003.23039739706,8800.323039739706,85418.85888436776,0.0,False,1451.1658264719363,0.0,85418.85888436776,1451.1658264719363,1117.4932150752402,0.0,1117.4932150752402,333.672611396696,0.0,333.672611396696,0.0,0.0,0.0
2025-09-22 03:00:00,Shandong,86021.76946744828,8602.176946744828,83752.36912109546,0.0,False,1392.05154749842,0.0,83752.36912109546,1392.05154749842,1016.0339666713081,0.0,1016.0339666713081,376.01758082711183,0.0,376.01758082711183,0.0,0.0,0.0
2025-09-22 04:00:00,Shandong,84142.2719925164,8414.22719925164,82218.71817127142,0.0,False,1352.8155683121017,0.0,82218.71817127142,1352.8155683121017,963.3322674927689,0.0,963.3322674927689,389.4833008193329,0.0,389.4833008193329,0.0,0.0,0.0
2025-09-22 05:00:00,Shandong,88267.58983298905,8826.758983298905,85694.53414550169,0.0,False,1358.922330015872,0.0,85694.53414550169,1358.922330015872,953.4825094275648,0.0,953.4825094275648,405.43982058830716,0.0,405.43982058830716,0.0,0.0,0.0
2025-09-22 06:00:00,Shandong,91160.44022466254,9116.044022466254,88189.8043782795,0.0,False,1377.0138593730578,0.0,88189.8043782795,1377.0138593730578,988.0492459471715,0.0,988.0492459471715,388.96461342588634,0.0,388.96461342588634,0.0,0.0,0.0
2025-09-22 07:00:00,Shandong,95216.60737359164,9521.660737359165,89330.83644799824,0.0,False,4046.8343738383896,0.0,89330.83644799824,4046.8343738383896,862.0728626944799,0.0,862.0728626944799,370.2376806091208,0.0,370.2376806091208,2814.523830534789,0.0,2814.523830534789
2025-09-22 08:00:00,Shandong,71626.83918936901,7162.683918936902,56464.627727099956,0.0,False,14557.770697475293,0.0,56464.627727099956,14557.770697475293,458.83390663411114,0.0,458.83390663411114,321.0276516042841,0.0,321.0276516042841,13777.909139236897,0.0,13777.909139236897
2025-09-22 09:00:00,Shandong,88919.60958215233,8891.960958215233,61332.74283079682,0.0,False,26973.996093946604,0.0,61332.74283079682,26973.996093946604,454.0361649436356,0.0,454.0361649436356,289.9950616605006,0.0,289.9950616605006,26229.964867342467,0.0,26229.964867342467
2025-09-22 10:00:00,Shandong,95390.45269687127,9539.045269687127,57058.61661059363,0.0,False,37715.81810793828,0.0,57058.61661059363,37715.81810793828,330.6096914311179,0.0,330.6096914311179,233.74304303164857,0.0,233.74304303164857,37151.46537347551,0.0,37151.46537347551
2025-09-22 11:00:00,Shandong,100299.36816320973,10029.936816320973,54113.22683949868,0.0,False,45568.15334402019,0.0,54113.22683949868,45568.15334402019,269.55348259032104,0.0,269.55348259032104,186.3197913306578,0.0,186.3197913306578,45112.28007009921,0.0,45112.28007009921
2025-09-22 12:00:00,Shandong,93800.00658280938,9380.000658280938,49660.08599484844,0.0,False,48576.88397067691,0.0,49660.08599484844,48576.88397067691,238.75633718831205,0.0,238.75633718831205,182.7887832890347,0.0,182.7887832890347,48155.33885019956,0.0,48155.33885019956
2025-09-22 13:00:00,Shandong,89770.12003523123,8977.012003523123,49622.13758655412,0.0,False,46688.51351073498,0.0,49622.13758655412,46688.51351073498,304.79270398448034,0.0,304.79270398448034,205.737917200158,0.0,205.737917200158,46177.98288955034,0.0,46177.98288955034
2025-09-22 14:00:00,Shandong,88098.90101053836,8809.890101053837,49593.12675228812,0.0,False,39872.81940680494,0.0,49593.12675228812,39872.81940680494,548.5323559671282,0.0,548.5323559671282,258.6558366458335,0.0,258.6558366458335,39065.63121419198,0.0,39065.63121419198
2025-09-22 15:00:00,Shandong,85849.09089825624,8584.909089825624,55105.25295817674,0.0,False,30138.210383011934,0.0,55105.25295817674,30138.210383011934,711.9337220349131,0.0,711.9337220349131,349.10663763498104,0.0,349.10663763498104,29077.17002334204,0.0,29077.17002334204
2025-09-22 16:00:00,Shandong,83864.21179271839,8386.42117927184,62143.078572331506,0.0,False,21101.728636992706,0.0,62143.078572331506,21101.728636992706,928.7406558590084,0.0,928.7406558590084,459.3909866425604,0.0,459.3909866425604,19713.596994491138,0.0,19713.596994491138
2025-09-22 17:00:00,Shandong,98175.27410862876,9817.527410862876,86452.06565274605,0.0,False,10395.414681780861,0.0,86452.06565274605,10395.414681780861,1247.0201342909293,0.0,1247.0201342909293,518.3593457122346,0.0,518.3593457122346,8630.035201777699,0.0,8630.035201777699
